Sitio,Parcela,Profundidad,Muestra ,pH ,Ca,Mg,K ,Na,Ac_Int,CIC,CO,MO,P ,N_NO3,N_NH4,Arena ,Limo,Arcilla,Clase_Textural,Abrev_textura,Season,Biomasa g/m²,Abundancia ind/m²,DAP,RH (%)
Laurnaga,CN,arriba,L-CN1,5.65,25.5,3.4,0.79,0.23,0.11,30.03,3.45,5.95,5,9,29,31,31,38,Franco arcilloso,FAc,Otoño22,15,320,"1,2","26,9"
Laurnaga,CN,arriba,L-CN2,5.65,25.5,3.4,0.79,0.23,0.11,30.03,3.45,5.95,5,9,29,31,31,38,Franco arcilloso,FAc,Otoño22,15,320,"1,2","26,9"
Laurnaga,CN,arriba,L-CN3,5.65,25.5,3.4,0.79,0.23,0.11,30.03,3.45,5.95,5,9,29,31,31,38,Franco arcilloso,FAc,Otoño22,15,320,"1,2","26,9"
Laurnaga,RA,arriba,L-RA1,5.65,25,3.11,0.39,0.25,0.08,28.86,1.9,3.28,9,15,12,31,31,38,Franco arcilloso,FAc,Otoño22,12,188,"1,26","22,7"
Laurnaga,RA,arriba,L-RA2,5.65,25,3.11,0.39,0.25,0.08,28.86,1.9,3.28,9,15,12,31,31,38,Franco arcilloso,FAc,Otoño22,12,188,"1,26","22,7"
Laurnaga,RA,arriba,L-RA3,5.65,25,3.11,0.39,0.25,0.08,28.86,1.9,3.28,9,15,12,31,31,38,Franco arcilloso,FAc,Otoño22,12,188,"1,26","22,7"
Martirena,CN,arriba,M-CN1,6.82,16.9,3.26,0.41,0.18,0.26,20.97,3.62,6.25,3,43,5,26,50,23,Franco limoso,FL,Otoño22,"46,6",364,"1,1","28,5"
Martirena,CN,arriba,M-CN2,6.82,16.9,3.26,0.41,0.18,0.26,20.97,3.62,6.25,3,43,5,26,50,23,Franco limoso,FL,Otoño22,"46,6",364,"1,1","28,5"
Martirena,CN,arriba,M-CN3,6.82,16.9,3.26,0.41,0.18,0.26,20.97,3.62,6.25,3,43,5,26,50,23,Franco limoso,FL,Otoño22,"46,6",364,"1,1","28,5"
Martirena,RA,arriba,M-RA1,6.63,25,2.03,0.27,0.08,0.16,27.52,2.55,4.4,29,29,9,23,40,36,Franco arcilloso,FAc,Otoño22,9,174,"1,22","23,3"
Martirena,RA,arriba,M-RA2,6.63,25,2.03,0.27,0.08,0.16,27.52,2.55,4.4,29,29,9,23,40,36,Franco arcilloso,FAc,Otoño22,9,174,"1,22","23,3"
Martirena,RA,arriba,M-RA3,6.63,25,2.03,0.27,0.08,0.16,27.52,2.55,4.4,29,29,9,23,40,36,Franco arcilloso,FAc,Otoño22,9,174,"1,22","23,3"
Poni,CN,arriba,P-CN1,5.85,13.4,3.31,0.34,0.52,0.11,17.67,2.52,4.35,3,9,30,29,39,32,Franco arcilloso,FAc,Primavera21,"7,2",150,"1,2","21,9"
Poni,CN,arriba,P-CN2,5.85,13.4,3.31,0.34,0.52,0.11,17.67,2.52,4.35,3,9,30,29,39,32,Franco arcilloso,FAc,Primavera21,"7,2",150,"1,2","21,9"
Poni,CN,arriba,P-CN3,5.85,13.4,3.31,0.34,0.52,0.11,17.67,2.52,4.35,3,9,30,29,39,32,Franco arcilloso,FAc,Primavera21,"7,2",150,"1,2","21,9"
Poni,RA,arriba,P-RA1,5.9,20.7,2.24,0.26,0.14,0.1,23.47,2.17,3.74,14,17,7,30,33,37,Franco arcilloso,FAc,Primavera21,"2,5",134,"1,4","19,2"
Poni,RA,arriba,P-RA2,5.9,20.7,2.24,0.26,0.14,0.1,23.47,2.17,3.74,14,17,7,30,33,37,Franco arcilloso,FAc,Primavera21,"2,5",134,"1,4","19,2"
Poni,RA,arriba,P-RA3,5.9,20.7,2.24,0.26,0.14,0.1,23.47,2.17,3.74,14,17,7,30,33,37,Franco arcilloso,FAc,Primavera21,"2,5",134,"1,4","19,2"
Salto,CN,arriba,SA-CN1,5.09,17,3.68,0.63,0.14,0.09,21.5,3.42,5.9,2,55,6,12,49,39,Franco arcillo limoso ,FAcL,Primavera20,"0,9",50,"0,96","22,6"
Salto,CN,arriba,SA-CN2,5.09,17,3.68,0.63,0.14,0.09,21.5,3.42,5.9,2,55,6,12,49,39,Franco arcillo limoso ,FAcL,Primavera20,"0,9",50,"0,96","22,6"
Salto,CN,arriba,SA-CN3,5.09,17,3.68,0.63,0.14,0.09,21.5,3.42,5.9,2,55,6,12,49,39,Franco arcillo limoso ,FAcL,Primavera20,"0,9",50,"0,96","22,6"
Salto,RA,arriba,SA-RA1,5.24,19.4,3.67,0.46,0.14,0.09,23.72,2.93,5.05,4,27,3,10,49,41,Arcillo limoso,AcL,Primavera20,"0,7",66,1,"18,1"
Salto,RA,arriba,SA-RA2,5.24,19.4,3.67,0.46,0.14,0.09,23.72,2.93,5.05,4,27,3,10,49,41,Arcillo limoso,AcL,Primavera20,"0,7",66,1,"18,1"
Salto,RA,arriba,SA-RA3,5.24,19.4,3.67,0.46,0.14,0.09,23.72,2.93,5.05,4,27,3,10,49,41,Arcillo limoso,AcL,Primavera20,"0,7",66,1,"18,1"
